,Job name,Company,Location and Full/Part
0,Microsoft Dynamics CRM Consultant,Arquiconsult,
1,Senior Project Manager,"Noesis Portugal - Consultadoria em Sistemas de Informação, SA","Lisboa   
 Full-time"
2,Tech Lead .NET,Bee Engineering,Lisboa
3,Front-End Developer,Alencastre Group,"Lisboa   
 Full-time"
4,SAS Expert,Michael Page Portugal,"Lisboa   
 Full-time"
5,Lead Javascript Developer,akapeople,"Lisboa   
 Full-time"
6,Junior Integration Consultant - Lisbon/Remote,Psicotec Portugal,"Lisboa   
 Full-time   
 Remoto"
7,Banking Services Transversal Project Manager,Amaris,"Lisboa   
 Full-time"
8,.NET Core Backend Developer,Novabase,"Lisboa   
 Full-time"
9,Functional Consultant,Arquiconsult,Full-time
10,C#. NET Developer – Área da saúde,Altran,"Lisboa, Porto   
 Full-time"
11,Junior React Developer,Dixtior Consulting,"Lisboa   
 Full-time"
12,Gestor de Projeto - Projetos de IT,Integer Consulting,"Lisboa, Porto   
 Remoto"
13,Tester Funcional,NEX T Engineering,"Lisboa   
 Full-time"
14,Project Manager,Findmore,Lisboa
15,(AL) Javascript Developer,KWAN,"Lisboa   
 Full-time"
16,React Developer,"Noesis Portugal - Consultadoria em Sistemas de Informação, SA","Lisboa   
 Full-time"
17,SEO Engineer,Aubay,"Lisboa   
 Full-time"
18,Microsoft Project,Arquiconsult,
19,PMP® – Preparação para Exame de Cer...,"Noesis Portugal - Consultadoria em Sistemas de Informação, SA","Lisboa   
 Full-time"
20,Excel – Funções,Bee Engineering,Lisboa
21,Academia Auditor de Segurança,Alencastre Group,"Lisboa   
 Full-time"
22,Administrador Microsoft 365,Michael Page Portugal,"Lisboa   
 Full-time"
23,Microsoft Dynamics CRM Consultant,akapeople,"Lisboa   
 Full-time"
24,Senior Project Manager,Psicotec Portugal,"Lisboa   
 Full-time   
 Remoto"
25,Tech Lead .NET,Amaris,"Lisboa   
 Full-time"
26,Front-End Developer,Novabase,"Lisboa   
 Full-time"
27,SAS Expert,Arquiconsult,Full-time
28,Lead Javascript Developer,Altran,"Lisboa, Porto   
 Full-time"
29,Junior Integration Consultant - Lisbon/Remote,Dixtior Consulting,"Lisboa   
 Full-time"
30,Banking Services Transversal Project Manager,Integer Consulting,"Lisboa, Porto   
 Remoto"
31,.NET Core Backend Developer,NEX T Engineering,"Lisboa   
 Full-time"
32,Functional Consultant,Findmore,Lisboa
33,C#. NET Developer – Área da saúde,KWAN,"Lisboa   
 Full-time"
34,Junior React Developer,"Noesis Portugal - Consultadoria em Sistemas de Informação, SA","Lisboa   
 Full-time"
35,Gestor de Projeto - Projetos de IT,Aubay,"Lisboa   
 Full-time"
36,Tester Funcional,Arquiconsult,
37,Project Manager,"Noesis Portugal - Consultadoria em Sistemas de Informação, SA","Lisboa   
 Full-time"
38,(AL) Javascript Developer,Bee Engineering,Lisboa
39,React Developer,Alencastre Group,"Lisboa   
 Full-time"
40,SEO Engineer,Michael Page Portugal,"Lisboa   
 Full-time"
41,Microsoft Project,akapeople,"Lisboa   
 Full-time"
42,PMP® – Preparação para Exame de Cer...,Psicotec Portugal,"Lisboa   
 Full-time   
 Remoto"
43,Excel – Funções,Amaris,"Lisboa   
 Full-time"
44,Academia Auditor de Segurança,Novabase,"Lisboa   
 Full-time"
45,Administrador Microsoft 365,Arquiconsult,Full-time
46,Microsoft Dynamics CRM Consultant,Altran,"Lisboa, Porto   
 Full-time"
47,Senior Project Manager,Dixtior Consulting,"Lisboa   
 Full-time"
48,Tech Lead .NET,Integer Consulting,"Lisboa, Porto   
 Remoto"
49,Front-End Developer,NEX T Engineering,"Lisboa   
 Full-time"
50,SAS Expert,Findmore,Lisboa
51,Lead Javascript Developer,KWAN,"Lisboa   
 Full-time"
52,Junior Integration Consultant - Lisbon/Remote,"Noesis Portugal - Consultadoria em Sistemas de Informação, SA","Lisboa   
 Full-time"
53,Banking Services Transversal Project Manager,Aubay,"Lisboa   
 Full-time"
54,.NET Core Backend Developer,Arquiconsult,
55,Functional Consultant,"Noesis Portugal - Consultadoria em Sistemas de Informação, SA","Lisboa   
 Full-time"
56,C#. NET Developer – Área da saúde,Bee Engineering,Lisboa
57,Junior React Developer,Alencastre Group,"Lisboa   
 Full-time"
58,Gestor de Projeto - Projetos de IT,Michael Page Portugal,"Lisboa   
 Full-time"
59,Tester Funcional,akapeople,"Lisboa   
 Full-time"
60,Project Manager,Psicotec Portugal,"Lisboa   
 Full-time   
 Remoto"
61,(AL) Javascript Developer,Amaris,"Lisboa   
 Full-time"
62,React Developer,Novabase,"Lisboa   
 Full-time"
63,SEO Engineer,Arquiconsult,Full-time
64,Microsoft Project,Altran,"Lisboa, Porto   
 Full-time"
65,PMP® – Preparação para Exame de Cer...,Dixtior Consulting,"Lisboa   
 Full-time"
66,Excel – Funções,Integer Consulting,"Lisboa, Porto   
 Remoto"
67,Academia Auditor de Segurança,NEX T Engineering,"Lisboa   
 Full-time"
68,Administrador Microsoft 365,Findmore,Lisboa
69,Microsoft Dynamics CRM Consultant,KWAN,"Lisboa   
 Full-time"
70,Senior Project Manager,"Noesis Portugal - Consultadoria em Sistemas de Informação, SA","Lisboa   
 Full-time"
71,Tech Lead .NET,Aubay,"Lisboa   
 Full-time"
72,Front-End Developer,Arquiconsult,
73,SAS Expert,"Noesis Portugal - Consultadoria em Sistemas de Informação, SA","Lisboa   
 Full-time"
74,Lead Javascript Developer,Bee Engineering,Lisboa
75,Junior Integration Consultant - Lisbon/Remote,Alencastre Group,"Lisboa   
 Full-time"
76,Banking Services Transversal Project Manager,Michael Page Portugal,"Lisboa   
 Full-time"
77,.NET Core Backend Developer,akapeople,"Lisboa   
 Full-time"
78,Functional Consultant,Psicotec Portugal,"Lisboa   
 Full-time   
 Remoto"
79,C#. NET Developer – Área da saúde,Amaris,"Lisboa   
 Full-time"
80,Junior React Developer,Novabase,"Lisboa   
 Full-time"
81,Gestor de Projeto - Projetos de IT,Arquiconsult,Full-time
82,Tester Funcional,Altran,"Lisboa, Porto   
 Full-time"
83,Project Manager,Dixtior Consulting,"Lisboa   
 Full-time"
84,(AL) Javascript Developer,Integer Consulting,"Lisboa, Porto   
 Remoto"
85,React Developer,NEX T Engineering,"Lisboa   
 Full-time"
86,SEO Engineer,Findmore,Lisboa
87,Microsoft Project,KWAN,"Lisboa   
 Full-time"
88,PMP® – Preparação para Exame de Cer...,"Noesis Portugal - Consultadoria em Sistemas de Informação, SA","Lisboa   
 Full-time"
89,Excel – Funções,Aubay,"Lisboa   
 Full-time"
90,Academia Auditor de Segurança,Arquiconsult,
91,Administrador Microsoft 365,"Noesis Portugal - Consultadoria em Sistemas de Informação, SA","Lisboa   
 Full-time"
92,Microsoft Dynamics CRM Consultant,Bee Engineering,Lisboa
93,Senior Project Manager,Alencastre Group,"Lisboa   
 Full-time"
94,Tech Lead .NET,Michael Page Portugal,"Lisboa   
 Full-time"
95,Front-End Developer,akapeople,"Lisboa   
 Full-time"
96,SAS Expert,Psicotec Portugal,"Lisboa   
 Full-time   
 Remoto"
97,Lead Javascript Developer,Amaris,"Lisboa   
 Full-time"
98,Junior Integration Consultant - Lisbon/Remote,Novabase,"Lisboa   
 Full-time"
99,Banking Services Transversal Project Manager,Arquiconsult,Full-time
100,.NET Core Backend Developer,Altran,"Lisboa, Porto   
 Full-time"
101,Functional Consultant,Dixtior Consulting,"Lisboa   
 Full-time"
102,C#. NET Developer – Área da saúde,Integer Consulting,"Lisboa, Porto   
 Remoto"
103,Junior React Developer,NEX T Engineering,"Lisboa   
 Full-time"
104,Gestor de Projeto - Projetos de IT,Findmore,Lisboa
105,Tester Funcional,KWAN,"Lisboa   
 Full-time"
106,Project Manager,"Noesis Portugal - Consultadoria em Sistemas de Informação, SA","Lisboa   
 Full-time"
107,(AL) Javascript Developer,Aubay,"Lisboa   
 Full-time"
108,React Developer,Arquiconsult,
109,SEO Engineer,"Noesis Portugal - Consultadoria em Sistemas de Informação, SA","Lisboa   
 Full-time"
110,Microsoft Project,Bee Engineering,Lisboa
111,PMP® – Preparação para Exame de Cer...,Alencastre Group,"Lisboa   
 Full-time"
112,Excel – Funções,Michael Page Portugal,"Lisboa   
 Full-time"
113,Academia Auditor de Segurança,akapeople,"Lisboa   
 Full-time"
114,Administrador Microsoft 365,Psicotec Portugal,"Lisboa   
 Full-time   
 Remoto"
115,Microsoft Dynamics CRM Consultant,Amaris,"Lisboa   
 Full-time"
116,Senior Project Manager,Novabase,"Lisboa   
 Full-time"
